symbol,datetime,Open,High,Low,Close,Volume
Q_NF1,20200731 13:30:00,11078.85,11080.9,11075.45,11078.15,8501175
Q_NF1,20200731 13:31:00,11077.9,11078.55,11066.6,11067.0,8526975
Q_NF1,20200731 13:32:00,11067.95,11070.0,11060.05,11065.05,8589750
Q_NF1,20200731 13:33:00,11066.0,11070.9,11063.2,11068.8,8612625
Q_NF1,20200731 13:34:00,11067.75,11069.45,11041.2,11044.35,8861100
Q_NF1,20200731 13:35:00,11046.3,11046.95,11034.0,11046.95,9022350
Q_NF1,20200731 13:36:00,11047.15,11047.95,11031.75,11038.4,9131850
Q_NF1,20200731 13:37:00,11036.15,11043.9,11032.15,11041.95,9204900
Q_NF1,20200731 13:38:00,11043.0,11049.0,11040.1,11044.0,9271350
Q_NF1,20200731 13:39:00,11041.1,11052.0,11041.1,11050.6,9341625
Q_NF1,20200731 13:40:00,11048.75,11049.6,11035.0,11036.35,9425475
Q_NF1,20200731 13:41:00,11035.6,11040.0,11025.0,11034.0,9538650
Q_NF1,20200731 13:42:00,11032.05,11037.0,11030.0,11032.2,9580725
Q_NF1,20200731 13:43:00,11033.8,11041.0,11031.2,11040.6,9612375
Q_NF1,20200731 13:44:00,11039.85,11043.85,11035.1,11036.3,9646800
Q_NF1,20200731 13:45:00,11036.6,11038.65,11031.25,11038.3,9679575
Q_NF1,20200731 13:46:00,11039.0,11039.0,11032.0,11034.0,9699525
Q_NF1,20200731 13:47:00,11036.2,11047.7,11033.7,11041.3,9743250
Q_NF1,20200731 13:48:00,11041.3,11047.95,11040.5,11046.3,9767100
Q_NF1,20200731 13:49:00,11046.45,11048.0,11036.5,11037.6,9810675
Q_NF1,20200731 13:50:00,11037.15,11038.45,11028.0,11033.9,9870000
Q_NF1,20200731 13:51:00,11035.0,11045.0,11033.1,11045.0,9891600
Q_NF1,20200731 13:52:00,11043.25,11054.3,11043.1,11051.45,9955875
Q_NF1,20200731 13:53:00,11051.45,11053.75,11046.45,11046.75,9980550
Q_NF1,20200731 13:54:00,11047.0,11047.0,11042.0,11042.95,9994575
Q_NF1,20200731 13:55:00,11042.95,11048.1,11042.7,11047.0,10020975
Q_NF1,20200731 13:56:00,11047.0,11059.0,11045.1,11059.0,10061250
Q_NF1,20200731 13:57:00,11063.5,11104.3,11059.45,11098.6,10377600
Q_NF1,20200731 13:58:00,11098.5,11119.0,11098.25,11100.25,10547325
Q_NF1,20200731 13:59:00,11101.0,11101.0,11086.0,11089.6,10620375
Q_NF1,20200731 14:00:00,11092.0,11106.0,11090.25,11099.75,10684800
Q_NF1,20200731 14:01:00,11099.75,11101.0,11087.25,11087.85,10725000
Q_NF1,20200731 14:02:00,11087.3,11094.55,11076.5,11076.95,10772175
Q_NF1,20200731 14:03:00,11079.0,11089.0,11077.4,11086.0,10798275
Q_NF1,20200731 14:04:00,11085.6,11089.65,11078.4,11088.15,10818000
Q_NF1,20200731 14:05:00,11088.0,11093.5,11083.65,11087.9,10844100
Q_NF1,20200731 14:06:00,11087.9,11088.25,11081.65,11085.9,10860075
Q_NF1,20200731 14:07:00,11085.9,11092.0,11076.0,11087.8,10899000
Q_NF1,20200731 14:08:00,11088.5,11094.0,11086.3,11090.0,10913850
Q_NF1,20200731 14:09:00,11089.65,11095.0,11087.55,11087.55,10949400
Q_NF1,20200731 14:10:00,11090.1,11099.25,11087.55,11098.65,10985625
Q_NF1,20200731 14:11:00,11098.85,11110.05,11098.85,11107.8,11059950
Q_NF1,20200731 14:12:00,11108.55,11114.5,11106.0,11113.9,11118300
Q_NF1,20200731 14:13:00,11113.8,11114.0,11100.0,11102.35,11146950
Q_NF1,20200731 14:14:00,11102.45,11108.55,11101.6,11105.0,11165625
Q_NF1,20200731 14:15:00,11105.9,11114.5,11105.05,11110.25,11206050
Q_NF1,20200731 14:16:00,11110.25,11111.0,11103.0,11110.0,11229975
Q_NF1,20200731 14:17:00,11108.85,11111.0,11100.0,11102.15,11258025
Q_NF1,20200731 14:18:00,11102.15,11102.55,11091.1,11092.8,11298225
Q_NF1,20200731 14:19:00,11093.7,11100.2,11092.55,11096.5,11323125
Q_NF1,20200731 14:20:00,11096.5,11096.5,11082.6,11085.0,11365200
Q_NF1,20200731 14:21:00,11085.2,11096.7,11085.05,11093.7,11380950
Q_NF1,20200731 14:22:00,11093.7,11094.05,11085.05,11089.75,11394300
Q_NF1,20200731 14:23:00,11090.0,11100.0,11088.55,11097.6,11412450
Q_NF1,20200731 14:24:00,11098.0,11100.0,11091.0,11094.55,11426475
Q_NF1,20200731 14:25:00,11094.55,11094.85,11084.55,11086.1,11448675
Q_NF1,20200731 14:26:00,11087.35,11091.0,11086.15,11090.0,11460600
Q_NF1,20200731 14:27:00,11090.0,11095.5,11086.0,11095.0,11473725
Q_NF1,20200731 14:28:00,11095.0,11105.0,11094.8,11104.45,11517450
Q_NF1,20200731 14:29:00,11101.05,11105.0,11095.2,11099.7,11534400
Q_NF1,20200731 14:30:00,11099.75,11099.75,11092.0,11092.95,11561475
Q_NF1,20200731 14:31:00,11093.15,11103.0,11089.0,11098.0,11589225
Q_NF1,20200731 14:32:00,11098.0,11098.35,11091.55,11096.65,11607225
Q_NF1,20200731 14:33:00,11094.9,11097.35,11092.8,11094.5,11618850
